,Pathway,Reaction,Entity,Name,Type,Id,UniqueId,Database,Role
0,R-HSA-196819,R-HSA-196761,R-ALL-29926,Mg2+,SimpleEntity,sm_Mg2+,sm_R-HSA-196761_Mg2+,ChEBI,catalystActivity
1,R-HSA-196819,R-HSA-196761,R-ALL-113592,ATP,SimpleEntity,sm_ATP,sm_R-HSA-196761_ATP,ChEBI,input
2,R-HSA-196819,R-HSA-196761,R-ALL-196934,THMN,SimpleEntity,sm_THMN,sm_R-HSA-196761_THMN,ChEBI,input
3,R-HSA-196819,R-HSA-196761,R-ALL-29480,ThDP,SimpleEntity,sm_ThDP,sm_R-HSA-196761_ThDP,ChEBI,output
4,R-HSA-196819,R-HSA-196761,R-ALL-76577,AMP,SimpleEntity,sm_AMP,sm_R-HSA-196761_AMP,ChEBI,output
5,R-HSA-196819,R-HSA-199626,R-ALL-199622,THMN,SimpleEntity,sm_THMN,sm_R-HSA-199626_THMN,ChEBI,input
6,R-HSA-196819,R-HSA-199626,R-ALL-196934,THMN,SimpleEntity,sm_THMN,sm_R-HSA-199626_THMN,ChEBI,output
7,R-HSA-196819,R-HSA-8875838,R-ALL-29480,ThDP,SimpleEntity,sm_ThDP,sm_R-HSA-8875838_ThDP,ChEBI,input
8,R-HSA-196819,R-HSA-8875838,R-ALL-8878387,ThDP,SimpleEntity,sm_ThDP,sm_R-HSA-8875838_ThDP,ChEBI,output
9,R-HSA-196819,R-HSA-965067,R-ALL-29926,Mg2+,SimpleEntity,sm_Mg2+,sm_R-HSA-965067_Mg2+,ChEBI,catalystActivity
10,R-HSA-196819,R-HSA-965067,R-ALL-29356,H2O,SimpleEntity,sm_H2O,sm_R-HSA-965067_H2O,ChEBI,input
11,R-HSA-196819,R-HSA-965067,R-ALL-964965,ThTP,SimpleEntity,sm_ThTP,sm_R-HSA-965067_ThTP,ChEBI,input
12,R-HSA-196819,R-HSA-965067,R-ALL-29372,Pi,SimpleEntity,sm_Pi,sm_R-HSA-965067_Pi,ChEBI,output
13,R-HSA-196819,R-HSA-965067,R-ALL-29480,ThDP,SimpleEntity,sm_ThDP,sm_R-HSA-965067_ThDP,ChEBI,output
14,R-HSA-196819,R-HSA-997381,R-ALL-113592,ATP,SimpleEntity,sm_ATP,sm_R-HSA-997381_ATP,ChEBI,input
15,R-HSA-196819,R-HSA-997381,R-ALL-29480,ThDP,SimpleEntity,sm_ThDP,sm_R-HSA-997381_ThDP,ChEBI,input
16,R-HSA-196819,R-HSA-997381,R-ALL-964965,ThTP,SimpleEntity,sm_ThTP,sm_R-HSA-997381_ThTP,ChEBI,output
17,R-HSA-196819,R-HSA-997381,R-ALL-29370,ADP,SimpleEntity,sm_ADP,sm_R-HSA-997381_ADP,ChEBI,output
